entityid;cent_codigo;esce_codigo;plfi_codigo;iddistritoed;cent_nombre;cent_multigrado;cent_referencia
dabe886d-e9a5-4e32-8473-c52db5acb627;;0;0;0;No definido;False;0
20f7cacf-8f2e-4a74-bd33-50f8bf16d98f;16000114;1;4574;1;ESMIRNA;False;7428
7e6049b6-28ae-4883-8303-286a90583030;16000218;1;6803;1;HERNANDO GORJON;False;2334
8772861a-bb7d-4ca1-bd23-39f5944a4d76;16000221;1;6803;1;HERNANDO GORJON;False;7429
609f774b-d5c3-42ec-8114-ffe2b38a235f;16000248;1;6803;1;RADIO SANTA MARIA - HERNANDO GORJON;False;13578
5329dbda-2831-4207-acc0-e58e3041cae7;16000257;1;6803;1;HERNANDO GORJON - PREPARA;False;13557
8b12fed8-7c1c-4b2c-8e67-907669d516d2;16000416;1;1032;1;BIENVENIDO MORILLO;False;2335
6825e02c-bc6f-4770-946a-98117a03bbd4;16000614;1;6984;1;LUIS MEDRANO GONZALEZ;False;7430
54291a10-124a-4e15-b86e-23cd6c01446d;16000812;1;5924;1;BARRIO LAS MERCEDES;False;2336
90ea2f0e-5a80-4d30-bb4a-4f277f928720;16001015;1;7948;1;MERCEDES;LAS;False
0b37ffdb-ea68-47df-ae22-cbb2f6f96e48;16001119;1;348;1;COLONIA MENCIA;False;2338
d9582b3b-d112-4691-bc0a-d1b45a3d8f64;16001411;1;7251;1;ALTAGRACIA "A";LA;False
f2ba4886-333a-4ea0-b4d3-246f515a69a8;16001426;14;324;1;ALTAGRACIA "B";LA;False
27aab9d5-217d-4b94-92c2-dc56f1fd83ee;16001713;1;4587;1;COLONIA LOS ARROYOS;True;2341
3d4e6d6f-862c-4852-a1fc-03ade812ada8;16001911;1;7455;1;AVILA;False;2342
1c610f66-e6a8-4ffb-b939-056140f19c0a;16002010;1;4569;1;AGUAS NEGRAS;False;2343
e72c7373-dc93-49e1-9c41-83ec41c136d1;16002218;1;508;1;HIGO GRANDE;False;2344
102a8841-71ef-48a5-8fc9-22ee54b189fc;16002416;1;13997;1;BOHECHIO;False;7431
9e5883bf-bcb7-4bba-b7cc-34b3b6d97e3c;16002510;14;1612;1;GASTON FERNANDO DELIGNE;False;7432
36e7bf5f-852d-4151-ba28-897cdb3826c0;16002524;1;1612;1;GASTON FERNANDO DELIGNE;False;7433
4553d4ef-22e1-4cf5-a13a-be7509ee778f;16002533;1;1612;1;GASTON FERNANDO DELIGNE;False;2345
f5e92fff-ac73-4367-9e25-44ae6abee1cf;16002718;1;161;1;BUCARAL;False;2346
dc41ed8d-d074-4138-9a31-f593c9177182;16002916;14;3844;1;COLONIA JUANCHO;False;7434
8152f186-02b3-483e-9b59-d6acac2bb75c;16002920;1;3844;1;COLONIA JUANCHO;False;2347
cf579c5b-2077-4c90-869d-f61db25c09d6;16003119;1;7320;1;JUANCHO;False;2348
f4cf2959-baf9-4b4e-b4e2-588339aa20d9;16003213;14;7320;1;JUANCHO;False;2349
d83b7e82-f7f4-43cb-9a00-e1393bbb8462;16003227;1;7320;1;ANTONIO GUZMAN FERNANDEZ;False;7435
dbef4fc2-54c6-48f7-b895-ded0557309a4;16003411;1;7046;1;CAJUIL;EL;False
6a975bcf-1f3b-4a0f-9b64-2357c2d40c3a;16003515;1;2662;1;TRES CHARCOS;LOS;True
0192d6a0-3c5d-447a-b7d9-69dbb03493e8;16003713;1;512;1;MANUEL GOYA;True;2352
6547d1d1-f03f-431d-ba43-c473913c1f55;16004711;1;4337;1;SITIO NUEVO;False;2353
66d9b1d1-bcb3-4659-9fef-879d9ca1a82a;16005119;1;10448;1;FUNDACION EDUCATIVA SUE�O INFANTIL DE PEDERNALES;True;7436
24a6a3df-0287-4779-825d-3e717d01e34e;16005216;1;9028;1;LUIS EMILIO PEREZ MENDEZ;False;12097
2f27cbcd-7666-4446-bcbc-cf193634acd0;16005315;1;6984;1;PASTOR ROBERTO MENDEZ PROF.;False;13923
9d40cc13-ff8b-4413-9010-51da1b686c5a;22001314;1;4490;10;HIGUERITO - ADULTOS;True;8135
fc1fcecc-eec1-4ae8-a990-70c8f68a2b56;22001418;1;3942;10;HIGUERITO;True;3279
f231b6ab-c16f-45de-be4a-090efb013694;22003012;1;1073;10;CARCEL PUBLICA;False;8139
ffa09a12-0c50-4847-89b9-164ccedc2d40;22003116;14;6187;10;FIOR D ALIZA NAUT;False;8140
709796d2-597c-4857-896d-8eb6c9a4d60c;22003120;14;6187;10;FIOR D ALIZA NAUT;False;8141
90c55a2f-20ce-42fe-9fe3-112a956908a9;22003418;1;6557;10;ENRIQUILLO;False;8142
2f153e79-2b34-45e4-88c0-66c81d4b6e6f;22003512;1;6557;10;ENRIQUILLO;False;3283
