entityid,codigo,nombreplantafisica,regional,distrito,provincia,municipio,distritomunicipal,seccionmunicipal,barrios,direccion,latitud,longitud,cantidadcentros,matriculamatutina,matriculavespertina,matriculanocturna,matriculacompleta,matriculasemipre
85816cb2-607d-40a9-8288-ca4fa72ea608,3007512,13 DE MARZO - EL RODEO,18-BAHORUCO,1801-NEYBA,BAORUCO,GALV�N,GALV�N,EL RODEO (MAJAGUAL),MAJAGUAL,PRINCIPA 13 DE MARZO - EL RODEO,18.505361614672761,-71.299794316291809,1,50,41,,,
4eaf7281-2ff5-4184-b455-b9fc72ef61e4,2026011,19 DE MARZO,03-AZUA,0301-AZUA,AZUA,PERALTA,PERALTA,PERALTA (ZONA URBANA),CENTRO DEL PUEBLO,ENRIQUIL 19 DE MARZO,18.5798010132123,-70.767054169311507,2,325,364,108,,
aa49fadb-9ce1-468b-bf7a-34071fc55379,1271613,24 DE ABRIL,15-SANTO DOMINGO,1502-SANTO DOMINGO CENTRO,DISTRITO NACIONAL,SANTO DOMINGO DE GUZM�N,SANTO DOMINGO DE GUZM�N,SANTO DOMINGO DE GUZM�N (ZONA URBANA),24 DE ABRIL,BARRIO 2 24 DE ABRIL,18.506724937359557,-69.893681108951569,2,428,513,273,,
60f0c3e3-909d-4159-b014-fbdda4149b82,23028817,24 DE ABRIL,05-SAN PEDRO DE MACORIS,0501-SAN PEDRO DE MACORIS ESTE,SAN PEDRO DE MACORIS,SAN PEDRO DE MACOR�S,SAN PEDRO DE MACOR�S,BOCA DEL SOCO,LA PUERTA DE SANTA FE,BARRIO L 24 DE ABRIL,18.475078301191289,-69.283304214477539,1,421,399,,,
697fe4c4-2432-46d2-8fa1-bb99b0908ede,32005911,24 DE ABRIL,10-SANTO DOMINGO,1006-MENDOZA,SANTO DOMINGO,SANTO DOMINGO ESTE,SANTO DOMINGO ESTE,SANTO DOMINGO ESTE (ZONA URBANA),LAS CANAS,CALLE    24 DE ABRIL,18.477951999999998,-69.819114999999996,1,265,182,,,
3dba542f-aff4-44b3-ba92-7f9815ba3f73,21051515,27 DE FEBRERO,04-SAN CRISTOBAL,0403-SAN CRISTOBAL SUR,SAN CRISTOBAL,SAN CRIST�BAL,SAN CRIST�BAL,NAJAYO ARRIBA,CANASTA,SECTOR 2 27 DE FEBRERO,18.399865999999999,-70.138755000000003,1,10,36,,,
5dcb2404-6db5-4712-a4d6-0486b6c7961b,25101515,27 DE FEBRERO,08-SANTIAGO,0807-VILLA BISONO (NAVARRETE),SANTIAGO,BISON�,BISON�,BISON� (ZONA URBANA),27 DE FEBRERO,27 DE FEBRERO,19.559888706073895,-70.889191031455994,1,201,227,,,
22ab7873-4a6a-4a3e-9381-7bf4fc2ba601,29005914,27 DE FEBRERO,17-MONTE PLATA,1703-BAYAGUANA,MONTE PLATA,BAYAGUANA,BAYAGUANA,BAYAGUANA (ZONA URBANA),SANTO CRISTO,DUARTE # 27 DE FEBRERO,18.752847114076271,-69.636881053447723,2,354,296,226,,
cb1533ca-9041-41a3-938e-255ccad5d2ca,9016219,30 DE MARZO,06-LA VEGA,0607-GASPAR HERNANDEZ,ESPAILLAT,GASPAR HERN�NDEZ,GASPAR HERN�NDEZ,BEJUCO BLANCO,BEJUCO BLANCO,BEJUCO B 30 DE MARZO,19.588329829280919,-70.248400568962097,2,133,90,162,,
ae5ad539-1f28-401f-8cd1-dc334ff5a062,6044213,ABEL ARANDA OLIVIER,07-SAN FRANCISCO DE MACORIS,0705-SAN FRANCISCO DE MACORIS SUR-E,DUARTE,SAN FRANCISCO DE MACOR�S,SAN FRANCISCO DE MACOR�S,SAN FRANCISCO DE MACOR�S (ZONA URBANA),LOS RIELES,LOS RIEL ABEL ARANDA OLIVIER,19.283501766649319,-70.261465609073639,2,236,249,42,,
a51ebe72-0738-4504-a498-9f0e185c4de6,21026417,ABEL URIBE,04-SAN CRISTOBAL,0403-SAN CRISTOBAL SUR,SAN CRISTOBAL,SABANA GRANDE DE PALENQUE,SABANA GRANDE DE PALENQUE,JUAN BAR�N,JUAN BAR�N,30 DE MA ABEL URIBE,18.249190869531617,-70.17591655254364,1,143,193,,,
9d502e29-08ac-4dfa-8a16-d97c57883f70,30021530,ABIGAIL MEJIA,05-SAN PEDRO DE MACORIS,0505-SABANA DE LA MAR,HATO MAYOR,SABANA DE LA MAR,SABANA DE LA MAR,SABANA DE LA MAR (ZONA URBANA),SAN CARLOS,,19.059917375881565,-69.389085173606873,3,465,729,179,,
2c941508-ec66-406c-8d40-238236bb4d44,25036113,ABRAHAM ALONZO GARCIA - LAGUNA PRIETA ABAJO,08-SANTIAGO,0803-SANTIAGO SUR-ESTE,SANTIAGO,PU�AL,PU�AL,MATANZAS,MATANZAS ADENTRO,LAGUNA P ABRAHAM ALONZO GARCIA - LAGUNA PRIETA ABAJO,19.397948888363405,-70.663960576057434,1,282,246,,,
1cca029d-b458-4288-9046-f86f4d8cab0d,24024018,ABRAHAN CANAAN - CAMU PINA VIEJA,16-COTUI,1602-FANTINO,SANCHEZ RAMIREZ,FANTINO,FANTINO,SIERRA PRIETA,SIERRA PRIETA,PROYECTO ABRAHAN CANAAN - CAMU PI�A VIEJA,19.140054791941161,-70.328976809978485,1,56,53,,,
a85e64f0-394d-4f93-9232-63b5c66fc907,2018713,ABRAHAN MATEO - MAGUEYAL CORTES,03-AZUA,0302-PADRE DE LAS CASAS,AZUA,LAS YAYAS DE VIAJAMA,HATO NUEVO CORT�S (D.M.),MAGUEYAL,MAGUEYAL,MAGUEYAL  ABRAHAN MATEO - MAGUEYAL CORTES,18.594488836044299,-70.996600091457395,1,149,153,,,
8b4cac46-0674-44ed-bcae-606e2a922252,4003614,ACADEMIA FRANCISCANA,01-BARAHONA,0103-BARAHONA,BARAHONA,BARAHONA,VILLA CENTRAL (D. M.),VILLA CENTRAL (ZONA URBANA),BATEY CENTRAL,C/ 1RA.  ACADEMIA FRANCISCANA,18.217746660271072,-71.091333031654358,3,591,,358,,
29802c01-bba5-45e8-a558-d823bc4aac27,25033014,ACIBA,08-SANTIAGO,0805-SANTIAGO CENTRO-OESTE,SANTIAGO,SANTIAGO,HATO DEL YAQUE (D. M.),GUAYACANAL,FINCA DE ACIBA,FINCA AC ACIBA,19.422163788240407,-70.797687470912933,1,45,49,,,
b8519faf-906b-422b-8150-ecf319f32eeb,2021110,ACTIVO 20-30,03-AZUA,0302-PADRE DE LAS CASAS,AZUA,PADRE LAS CASAS,PADRE LAS CASAS,PADRE LAS CASAS (ZONA URBANA),LOS MAGINO,MATEO AD ACTIVO 20-30,18.730479962775764,-70.937165021896362,1,,2,,377,
440dccd6-23be-4525-9fa2-fe195b438293,21016619,ACTIVO 20-30,04-SAN CRISTOBAL,0406-HAINA,SAN CRISTOBAL,BAJOS DE HAINA,BAJOS DE HAINA,BAJOS DE HAINA (ZONA URBANA),PIEDRA BLANCA,CARRET.  ACTIVO 20-30,18.426514634394092,-70.025753080844879,2,262,271,601,,
